image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.0025_with_target,3,-0.3575206713270469,0.35996184564541744,-0.7724538509055157,-0.12895022681570123,13.0,39
image.0038_with_target,4,0.4434078765342147,0.4840850817735251,0.02385628409261309,0.8628440142374554,5769.75,23079
image.0049_with_target,5,0.271082975331257,0.5656539446484429,-0.401247804099482,0.862946558964516,4285.6,21428
image.0060_with_target,2,0.8361277871922634,0.03893358517712875,0.8085975850976116,0.8636579892869152,10008.0,20016
image.0077_with_target,2,0.8568508802087575,0.00412302798371954,0.8539354591624475,0.8597663012550675,10016.0,20032
image.0093_with_target,2,-0.08722930498347115,0.03897142065890463,-0.11478626080385612,-0.05967234916308617,42.5,85
image.0094_with_target,1,-0.15377741375516885,,-0.15377741375516885,-0.15377741375516885,14.0,14
image.0101_with_target,2,0.8625470723869048,0.00408796388203422,0.8596564454046727,0.8654376993691368,9978.0,19956
image.0154_with_target,7,0.2423452758723137,0.4312934623356271,-0.13570774916627681,0.8680726994451777,3045.714285714286,21320
image.0191_with_target,3,0.5590808084720541,0.4553696649056264,0.0348340042104357,0.8563538604214991,6729.666666666667,20189
image.0220_with_target,2,0.015095034933136353,0.09951704997147207,-0.055274145945372055,0.08546421581164476,98.0,196
image.0230_with_target,10,-0.30631135063845455,0.7090938564702329,-1.3447360499173753,0.8668687234866117,2006.4,20064
image.0231_with_target,4,0.2790929296707514,0.6596631058439224,-0.401247804099482,0.863859228737684,5026.5,20106
image.0240_with_target,8,0.0905050523892801,0.5026890529481944,-0.401247804099482,0.8599852412596403,2650.25,21202
image.0246_with_target,2,0.8633196810070135,0.003947840492657465,0.8605281362236126,0.8661112257904144,9992.0,19984
image.0313_with_target,6,0.28918751570925033,0.4537549792549936,-0.17115793625992382,0.864259048807907,3601.5,21609
image.0329_with_target,2,-0.05872925136429674,0.12605146328805222,-0.1478610958337656,0.030402593105172127,768.0,1536
image.0335_with_target,2,0.8622042777950774,0.006463608059380667,0.8576338167053572,0.8667747388847974,10014.0,20028
image.0368_with_target,11,0.03214779916620978,0.543500724740028,-1.0783863689617394,0.8603117370174674,1864.6363636363637,20511
image.0407_with_target,2,-0.23025252631701432,0.2418238409417206,-0.401247804099482,-0.059257248534546614,41.0,82
image.0424_with_target,2,0.8552712085903981,0.003665178029031376,0.852679536351814,0.8578628808289821,10016.5,20033
image.0469_with_target,4,0.4265182405198573,0.4991178759508333,-0.009170224973631846,0.8596564454046727,5094.0,20376
image.0493_with_target,3,0.4400712692142293,0.7286249882130096,-0.401247804099482,0.866301811823955,6687.0,20061
image.0513_with_target,8,0.12106135638499527,0.5577091250965378,-0.7724538509055157,0.8608508575893091,2604.5,20836
image.0532_with_target,2,0.8475274321758413,0.02708660599907017,0.8283743093945706,0.866680554957112,10034.0,20068
image.0551_with_target,2,0.8603243639623951,0.005282392809171523,0.8565891481861388,0.8640595797386513,10015.5,20031
