image_name,cells_processed,image_load_ms,yolo_detection_ms,sam_preprocess_ms,inference_ms,postprocess_ms,visualization_ms,total_time_ms
batch_1_task_80_dc6ca2d3-1.0027.png,1,8.874177932739258,1320.596694946289,124.5126724243164,0.0,0.0,69.39482688903809,69.3967342376709
batch_1_task_85_8d21247d-1.0032.png,0,2.0554065704345703,14.020204544067383,0.0,0.0,0.0,35.437583923339844,35.43901443481445
batch_3_6ea67775-image_22.png,3,2.1944046020507812,49.274444580078125,102.63633728027344,0.0,0.0,116.31369590759277,116.31441116333008
batch_3_6e9e5a5b-image_6.png,2,2.2275447845458984,17.37523078918457,27.222394943237305,0.0,0.0,89.50018882751465,89.50185775756836
batch_2_2afbf028-image_13.png,1,3.4253597259521484,12.6953125,28.02729606628418,0.0,0.0,68.64309310913086,68.64404678344727
batch_3_task_83_674bd616-1.0030.png,0,2.2211074829101562,25.22587776184082,0.0,0.0,0.0,35.619258880615234,35.62021255493164
batch_1_task_78_1142a642-1.0025.png,0,1.8210411071777344,10.210037231445312,0.0,0.0,0.0,34.97791290283203,34.980058670043945
batch_1_task_75_e601be5f-1.0022.png,1,1.7819404602050781,16.951560974121094,31.37969970703125,0.0,0.0,55.93752861022949,55.9384822845459
batch_2_4fc54125-image_28.png,3,2.0868778228759766,40.60935974121094,21.514177322387695,0.0,0.0,117.10095405578613,117.10143089294434
batch_1_0d1c6952-image_31.png,3,2.6133060455322266,13.686895370483398,20.631790161132812,0.0,0.0,116.29486083984375,116.29581451416016
batch_1_2b79e359-image_36.png,1,2.5985240936279297,15.247821807861328,20.107269287109375,0.0,0.0,63.33565711975098,63.33661079406738
batch_1_task_83_674bd616-1.0030.png,0,1.7383098602294922,11.264801025390625,0.0,0.0,0.0,34.1188907623291,34.12032127380371
batch_1_task_77_b6a10eff-1.0024.png,0,1.8093585968017578,15.286684036254883,0.0,0.0,0.0,34.75165367126465,34.75356101989746
batch_1_task_79_ad00d1f7-1.0026.png,1,1.771688461303711,12.875080108642578,34.79123115539551,0.0,0.0,60.269832611083984,60.27102470397949
batch_3_task_78_1142a642-1.0025.png,0,2.656221389770508,19.834041595458984,0.0,0.0,0.0,35.24589538574219,35.247087478637695
batch_2_task_85_8d21247d-1.0032.png,0,2.0291805267333984,9.879350662231445,0.0,0.0,0.0,37.27245330810547,37.27388381958008
batch_3_task_75_e601be5f-1.0022.png,1,2.210378646850586,32.73582458496094,22.987842559814453,0.0,0.0,60.715675354003906,60.71662902832031
batch_3_task_76_06e9d3e2-1.0023.png,1,2.2346973419189453,38.46573829650879,25.46072006225586,0.0,0.0,56.59031867980957,56.59127235412598
batch_2_2b79e359-image_36.png,1,2.2776126861572266,16.612529754638672,24.576663970947266,0.0,0.0,70.65439224243164,70.65534591674805
batch_2_6e9e5a5b-image_6.png,2,2.6671886444091797,23.891687393188477,22.940635681152344,0.0,0.0,85.22391319274902,85.22510528564453
batch_2_task_84_f0aef729-1.0031.png,0,1.8842220306396484,38.6807918548584,0.0,0.0,0.0,37.52279281616211,37.523508071899414
batch_3_2b79e359-image_36.png,1,4.383563995361328,13.710260391235352,26.597023010253906,0.0,0.0,65.45495986938477,65.45615196228027
batch_1_6ea67775-image_22.png,3,2.2957324981689453,26.79586410522461,27.42147445678711,0.0,0.0,109.66324806213379,109.6642017364502
batch_1_7beb2710-image_34.png,3,2.405881881713867,42.963504791259766,25.842666625976562,0.0,0.0,114.08758163452148,114.08829689025879
batch_1_04d1186c-image_38.png,1,2.4259090423583984,17.864465713500977,25.632381439208984,0.0,0.0,68.17269325256348,68.17388534545898
batch_2_task_78_1142a642-1.0025.png,0,1.8467903137207031,15.100717544555664,0.0,0.0,0.0,35.99190711975098,35.99286079406738
batch_2_task_75_e601be5f-1.0022.png,1,1.8963813781738281,17.122268676757812,21.361589431762695,0.0,0.0,57.33752250671387,57.33919143676758
batch_2_5f9193f1-image_50.png,1,2.1543502807617188,12.321710586547852,32.591819763183594,0.0,0.0,63.788414001464844,63.78936767578125
